,team,year,news_count
0,baseball,2025,9
0,baseball,2024,41
0,baseball,2023,45
0,baseball,2022,46
0,baseball,2021,36
0,baseball,2020,41
0,baseball,2019,51
0,baseball,2018,60
0,baseball,2017,50
0,baseball,2016,39
0,baseball,2015,40
0,baseball,2014,45
0,baseball,2013,37
0,mbball,2024,53
0,mbball,2023,59
0,mbball,2022,48
0,mbball,2021,29
0,mbball,2020,54
0,mbball,2019,56
0,mbball,2018,53
0,mbball,2017,51
0,mbball,2016,52
0,mbball,2015,52
0,mbball,2014,48
0,mbball,2013,48
0,mbball,2012,15
0,mcross,2025,0
0,mcross,2024,17
0,mcross,2023,14
0,mcross,2022,13
0,mcross,2021,17
0,mcross,2020,22
0,mcross,2019,24
0,mcross,2018,17
0,mcross,2017,25
0,mcross,2016,26
0,mcross,2015,21
0,mcross,2014,21
0,mcross,2013,16
0,mcross,2012,13
0,football,2024,46
0,football,2023,49
0,football,2022,44
0,football,2021,66
0,football,2020,49
0,football,2019,74
0,football,2018,66
0,football,2017,51
0,football,2016,54
0,football,2015,48
0,football,2014,61
0,football,2013,44
0,football,2012,37
0,mgolf,2024,17
0,mgolf,2023,17
0,mgolf,2022,11
0,mgolf,2021,25
0,mgolf,2020,15
0,mgolf,2019,19
0,mgolf,2018,22
0,mgolf,2017,19
0,mgolf,2016,23
0,mgolf,2015,23
0,mgolf,2014,24
0,mgolf,2013,16
0,mgolf,2012,3
0,mlax,2025,11
0,mlax,2024,46
0,mlax,2023,49
0,mlax,2022,39
0,mlax,2021,41
0,mlax,2020,38
0,mlax,2019,42
0,mlax,2018,45
0,mlax,2017,33
0,mlax,2016,24
0,mlax,2015,33
0,mlax,2014,24
0,mlax,2013,22
0,msoc,2024,51
0,msoc,2023,47
0,msoc,2022,51
0,msoc,2021,51
0,msoc,2020,24
0,msoc,2019,52
0,msoc,2018,45
0,msoc,2017,38
0,msoc,2016,34
0,msoc,2015,34
0,msoc,2014,62
0,msoc,2013,34
0,msoc,2012,34
0,mten,2024,18
0,mten,2023,20
0,mten,2022,17
0,mten,2021,32
0,mten,2020,20
0,mten,2019,30
0,mten,2018,33
0,mten,2017,29
0,mten,2016,22
0,mten,2015,22
0,mten,2014,20
0,mten,2013,21
0,mten,2012,2
0,mten,2012,2
0,mtrack,2024,61
0,mtrack,2023,51
0,mtrack,2022,49
0,mtrack,2021,34
0,mtrack,2020,50
0,mtrack,2019,40
0,mtrack,2018,59
0,mtrack,2017,63
0,mtrack,2016,46
0,mtrack,2015,49
0,mtrack,2015,49
0,mtrack,2014,35
0,wrestling,2024,38
0,wrestling,2023,52
0,wrestling,2022,46
0,wrestling,2021,25
0,wrestling,2020,51
0,wrestling,2019,43
0,wrestling,2018,51
0,wrestling,2017,38
0,wrestling,2016,32
0,wrestling,2015,37
0,wrestling,2014,22
0,wrestling,2013,18
0,wrestling,2012,5
0,wbball,2024,51
0,wbball,2023,52
0,wbball,2022,43
0,wbball,2021,28
0,wbball,2020,50
0,wbball,2019,54
0,wbball,2018,65
0,wbball,2017,65
0,wbball,2016,77
0,wbball,2015,77
0,wbball,2014,49
0,wbball,2013,50
0,wbball,2012,15
0,wcross,2025,0
0,wcross,2024,18
0,wcross,2023,13
0,wcross,2022,18
0,wcross,2021,24
0,wcross,2020,21
0,wcross,2019,20
0,wcross,2018,19
0,wcross,2017,16
0,wcross,2016,23
0,wcross,2015,22
0,wcross,2014,16
0,wcross,2013,20
0,wcross,2012,20
0,fhockey,2024,38
0,fhockey,2023,39
0,fhockey,2022,41
0,fhockey,2021,39
0,fhockey,2020,27
0,fhockey,2019,43
0,fhockey,2018,45
0,fhockey,2017,42
0,fhockey,2016,61
0,fhockey,2015,45
0,fhockey,2014,49
0,fhockey,2013,45
0,fhockey,2012,26
0,wgolf,2024,8
0,wgolf,2023,12
0,wgolf,2022,9
0,wgolf,2021,24
0,wgolf,2020,16
0,wgolf,2019,21
0,wgolf,2018,19
0,wgolf,2017,18
0,wgolf,2016,16
0,wgolf,2015,13
0,wgolf,2014,10
0,wgolf,2013,8
0,wgolf,2012,0
0,wlax,2025,8
0,wlax,2024,43
0,wlax,2023,41
0,wlax,2022,34
0,wlax,2021,29
0,wlax,2020,25
0,wlax,2019,37
0,wlax,2018,43
0,wlax,2017,49
0,wlax,2016,39
0,wlax,2015,42
0,wlax,2014,36
0,wlax,2013,25
0,wsoc,2025,1
0,wsoc,2024,40
0,wsoc,2023,44
0,wsoc,2022,34
0,wsoc,2021,43
0,wsoc,2020,36
0,wsoc,2019,48
0,wsoc,2018,38
0,wsoc,2017,38
0,wsoc,2016,31
0,wsoc,2015,32
0,wsoc,2014,43
0,wsoc,2013,36
0,wsoc,2012,29
0,softball,2025,5
0,softball,2024,48
0,softball,2023,42
0,softball,2022,43
0,softball,2021,36
0,softball,2020,34
0,softball,2019,46
0,softball,2018,43
0,softball,2017,37
0,softball,2016,29
0,softball,2015,32
0,softball,2014,42
0,softball,2013,36
0,wtennis,2024,13
0,wtennis,2023,19
0,wtennis,2022,22
0,wtennis,2021,27
0,wtennis,2020,23
0,wtennis,2019,24
0,wtennis,2018,18
0,wtennis,2017,26
0,wtennis,2016,31
0,wtennis,2015,27
0,wtennis,2014,25
0,wtennis,2013,22
0,wtennis,2012,3
0,wtrack,2024,53
0,wtrack,2023,46
0,wtrack,2022,45
0,wtrack,2021,30
0,wtrack,2020,55
0,wtrack,2019,40
0,wtrack,2018,45
0,wtrack,2017,46
0,wtrack,2016,41
0,wtrack,2015,41
0,wtrack,2015,41
0,wtrack,2014,32
0,wtrack,2013,38
0,volleyball,2024,37
0,volleyball,2023,45
0,volleyball,2022,40
0,volleyball,2021,49
0,volleyball,2020,25
0,volleyball,2019,43
0,volleyball,2018,53
0,volleyball,2017,49
0,volleyball,2016,45
0,volleyball,2015,46
0,volleyball,2015,46
0,volleyball,2014,51
0,volleyball,2013,31
0,volleyball,2012,27
0,wwrestling,2024,7
