,Date,Loc,Opponent,W/L,Score,AB,R,H,RBI,2B,3B,HR,BB,IBB,SB,CS,HBP,SH,SF,GDP,K,PO,A,E,AVG,team_name
0,2/25/2024,at,Rutgers-Newark,L,4-5,34,4,6,3,4,0,0,8,0,2,2,2,0,1,0,5,28,9,2,0.176,baseball
1,2/25/2024,at,Rutgers-Newark,L,3-6,32,3,5,1,0,0,0,5,0,0,1,0,1,0,1,5,24,8,2,0.156,baseball
2,3/3/2024,at,Eastern,W,6-5,27,6,9,6,0,0,1,2,0,0,2,3,0,0,0,3,21,4,1,0.333,baseball
3,3/3/2024,at,Eastern,L,0-9,24,0,5,0,1,0,0,0,0,0,1,1,0,0,1,10,18,10,1,0.208,baseball
4,3/10/2024,vs,Gwynedd Mercy,W,9-4,37,9,13,9,1,0,1,5,0,1,0,0,0,0,0,6,27,12,2,0.351,baseball
5,3/10/2024,vs,Emerson,L,3-7,34,3,6,3,2,0,0,1,0,1,0,1,0,1,0,13,24,12,5,0.176,baseball
6,3/11/2024,vs,Springfield,L,3-4,24,3,5,3,1,1,0,1,0,0,0,0,0,1,0,4,18,3,1,0.208,baseball
7,3/11/2024,vs,Springfield,W,6-3,25,6,7,6,0,0,2,6,0,0,0,0,0,0,0,10,21,13,3,0.28,baseball
8,3/15/2024,at,TCNJ,L,3-11,21,3,3,3,0,0,1,5,0,0,0,0,0,0,1,12,18,8,2,0.143,baseball
9,3/15/2024,,TCNJ,L,0-12,21,0,1,0,0,0,0,1,0,0,0,2,0,0,1,11,21,6,2,0.048,baseball
10,3/16/2024,vs,RIT,W,10-3,37,10,10,9,0,0,0,10,0,2,0,0,0,0,0,12,27,6,1,0.27,baseball
11,3/16/2024,vs,Keystone,L,2-15,26,2,5,2,0,0,0,5,0,1,0,0,0,0,0,16,21,8,3,0.192,baseball
12,3/19/2024,,Neumann,L,7-8,37,7,12,7,4,0,0,7,0,4,0,1,0,1,0,6,27,8,2,0.324,baseball
13,3/20/2024,,Penn State Berks,W,24-7,38,24,16,23,4,0,1,25,0,0,0,2,0,2,0,8,24,10,0,0.421,baseball
14,3/24/2024,,New Jersey City,L,1-4,26,1,4,1,3,0,0,1,0,0,0,0,0,0,0,11,21,11,1,0.154,baseball
15,3/24/2024,,New Jersey City,W,9-6,31,9,14,9,1,1,0,4,1,0,1,1,0,0,0,9,21,6,1,0.452,baseball
16,3/25/2024,,Albright,L,5-12,36,5,8,5,3,0,0,4,0,0,0,1,0,0,1,6,27,16,5,0.222,baseball
17,3/30/2024,,McDaniel,L,3-9,38,3,11,3,1,0,2,4,0,1,0,2,0,0,0,6,27,9,1,0.289,baseball
18,3/30/2024,,McDaniel,L,4-11,37,4,11,3,5,0,0,2,0,0,0,1,0,0,1,6,27,4,2,0.297,baseball
19,4/5/2024,at,Swarthmore,L,0-10,30,0,5,0,1,0,0,3,0,0,2,3,0,0,0,8,27,7,3,0.167,baseball
20,4/5/2024,at,Swarthmore,L,4-19,23,4,3,3,1,0,0,6,0,0,0,2,0,0,3,4,18,8,1,0.13,baseball
21,4/6/2024,at,Gettysburg,L,2-6,32,2,6,2,0,0,0,0,0,1,0,0,0,0,1,9,24,3,1,0.188,baseball
22,4/6/2024,at,Gettysburg,L,4-5,33,4,9,3,1,1,0,1,0,0,1,1,0,0,2,5,25,9,4,0.273,baseball
23,4/9/2024,at,Dickinson,L,3-14,27,3,8,3,3,0,0,4,0,2,0,3,0,1,1,8,18,5,5,0.296,baseball
24,4/10/2024,at,King's (Pa.),L,6-15,40,6,12,6,2,0,0,1,0,1,0,0,0,0,0,3,24,6,4,0.3,baseball
25,4/13/2024,at,Franklin & Marshall,W,3-1,32,3,7,2,2,1,0,4,0,1,2,2,2,0,0,6,27,4,2,0.219,baseball
26,4/13/2024,at,Franklin & Marshall,L,4-7,32,4,6,4,0,0,0,5,0,1,1,2,0,0,1,9,24,11,4,0.188,baseball
27,4/14/2024,,Dickinson,L,8-11,40,8,10,7,3,0,1,1,0,1,0,4,3,0,0,12,33,17,2,0.25,baseball
28,4/16/2024,,Haverford,L,6-13,33,6,11,6,0,1,1,4,0,1,0,1,1,1,2,10,27,8,1,0.333,baseball
29,4/19/2024,at,Haverford,L,5-9,34,5,8,5,1,0,2,2,0,0,0,1,1,0,0,4,24,9,0,0.235,baseball
30,4/20/2024,,Johns Hopkins,L,0-15,25,0,3,0,0,0,0,3,0,0,0,0,0,0,0,9,21,6,0,0.12,baseball
31,4/20/2024,,Johns Hopkins,L,2-19,25,2,6,1,1,0,1,4,0,1,0,0,0,0,1,10,21,2,1,0.24,baseball
32,4/23/2024,,Ursinus,W,8-7,36,8,11,6,0,0,0,9,1,0,0,1,3,0,0,8,30,16,2,0.306,baseball
33,4/24/2024,at,King's (Pa.),L,6-7,40,6,7,6,2,0,0,5,1,0,0,1,1,0,0,10,32,8,1,0.175,baseball
34,4/26/2024,at,Ursinus,W,3-2,33,3,7,3,1,0,2,2,0,1,0,0,0,0,1,7,27,12,1,0.212,baseball
35,4/27/2024,at,Washington College,L,9-10,51,9,13,8,6,0,1,4,0,1,0,0,1,0,1,15,34,7,0,0.255,baseball
36,4/27/2024,at,Washington College,L,5-7,34,5,7,5,2,0,1,3,0,1,0,1,1,0,0,7,24,3,0,0.206,baseball
37,4/29/2024,at,Albright,L,6-10,38,6,13,6,3,0,0,1,0,1,1,1,0,1,0,8,24,7,4,0.342,baseball
38,4/30/2024,at,DeSales,L,5-13,36,5,8,5,0,0,0,5,0,2,0,2,0,0,1,4,24,7,3,0.222,baseball
39,Total,,,,191-341,1259,191,311,177,59,5,17,163,3,27,14,42,14,9,20,315,950,318,76,,baseball
40,2/26/2023,at,St. Mary's (Md.),W,4-3,30,4,8,2,1,0,1,3,0,1,0,1,0,1,0,5,21,9,3,0.267,baseball
41,2/26/2023,at,St. Mary's (Md.),L,5-15,24,5,4,4,2,0,0,5,0,2,0,4,0,1,0,8,18,9,0,0.167,baseball
42,3/2/2023,at,Lebanon Valley,T,7-7,28,7,6,6,4,0,1,10,0,2,0,1,2,1,0,12,24,7,0,0.214,baseball
43,3/5/2023,at,Albright,W,13-2,34,13,14,12,3,0,0,5,0,3,0,3,0,1,0,2,21,13,1,0.412,baseball
44,3/5/2023,at,Albright,W,7-4,25,7,5,5,2,0,0,6,0,0,2,1,0,1,0,4,21,5,1,0.2,baseball
45,3/9/2023,,Eastern,L,5-9,33,5,7,4,1,1,0,9,0,3,1,3,0,1,0,9,27,11,3,0.212,baseball
46,3/12/2023,vs,Springfield,L,1-2,23,1,5,1,0,0,0,5,0,0,2,2,0,0,0,5,18,14,1,0.217,baseball
47,3/12/2023,vs,Springfield,W,4-2,19,4,4,4,0,0,0,2,0,1,0,2,3,0,0,0,21,6,0,0.211,baseball
48,3/13/2023,vs,Marymount,L,2-6,23,2,3,0,1,0,0,3,0,3,0,1,0,0,2,7,18,8,0,0.13,baseball
49,3/13/2023,vs,Marymount,L,1-6,25,1,5,1,1,0,0,1,0,0,0,0,1,0,0,10,21,5,1,0.2,baseball
50,3/17/2023,vs,TCNJ,W,7-6,36,7,11,7,2,0,1,3,0,1,0,0,2,0,0,7,27,7,2,0.306,baseball
51,3/17/2023,vs,TCNJ,L,2-8,28,2,8,2,1,2,0,4,0,0,0,0,1,0,0,8,18,6,3,0.286,baseball
52,3/18/2023,vs,RIT,L,3-4,29,3,6,3,2,0,0,1,0,0,0,1,0,0,0,11,24,8,2,0.207,baseball
53,3/18/2023,vs,RIT,W,5-3,27,5,5,4,2,0,0,5,0,3,0,3,0,0,0,9,21,8,0,0.185,baseball
