,Date,Opponent,Result,Score,Record,Duration,Attendance,team_name
0,9/1/2023,vs Moravian,W,53-12,1-0,2:46,3381,football
1,9/9/2023,vs Salisbury,W,29-17,2-0,2:35,3155,football
2,9/16/2023,at TCNJ,W,38-10,3-0,02:41,795,football
3,9/29/2023,at Ursinus,W,28-20,"4-0 , 1-0",02:43,1727,football
4,10/7/2023,vs McDaniel,W,50-6,"5-0 , 2-0",2:48,822,football
5,10/14/2023,at Gettysburg,W,41-13,"6-0 , 3-0",02:36,899,football
6,10/21/2023,at Dickinson,W,42-21,"7-0 , 4-0",02:29,389,football
7,10/28/2023,vs Johns Hopkins,L,28-34,"7-1 , 4-1",2:55,3488,football
8,11/4/2023,vs Franklin & Marshall,W,48-45,"8-1 , 5-1",3:19,2582,football
9,11/10/2023,at Montclair St.,W,45-14,9-1,02:47,787,football
10,11/18/2023,vs Lebanon Valley,W,23-7,10-1,2:35,1016,football
11,,,,,,,19041,football
12,9/3/2022,at Mary Hardin-Baylor,L,13-62,0-1,02:41,7134,football
13,9/10/2022,vs Dickinson,W,34-21,"1-1 , 0-1",2:46,1911,football
14,9/17/2022,at Ursinus,L,28-35,"1-2 , 1-1",2:36,1973,football
15,9/24/2022,vs McDaniel,W,41-7,"2-2 , 2-1",2:22,1895,football
16,10/1/2022,vs Gettysburg,W,56-17,"3-2 , 3-1",2:50,1105,football
17,10/14/2022,at Johns Hopkins,L,27-34,"3-3 , 3-2",02:34,2000,football
18,10/22/2022,at Juniata,W,57-12,"4-3 , 4-2",2:30,1000,football
19,10/29/2022,vs Franklin & Marshall,W,28-21,"5-3 , 5-2",2:56,2128,football
20,11/5/2022,vs Susquehanna,L,24-28,"5-4 , 5-3",2:37,3159,football
21,11/12/2022,at Moravian,W,37-10,"6-4 , 6-3",2:43,1973,football
22,11/19/2022,at Lebanon Valley,W,48-21,7-4,02:33,2058,football
23,,,,,,,26336,football
24,9/4/2021,vs TCNJ,W,41-0,1-0,2:34,1499,football
25,9/11/2021,at Dickinson,W,34-13,"2-0 , 1-0",03:12,1200,football
26,9/18/2021,vs Ursinus,L,35-42,"2-1 , 1-1",2:58,3121,football
27,9/25/2021,at McDaniel,W,23-0,"2-1 , 1-1",2:40,1389,football
28,10/2/2021,at Gettysburg,W,54-19,"4-1 , 3-1",2:47,903,football
29,10/15/2021,vs Johns Hopkins,W,21-6,"5-1 , 4-1",2:47,3512,football
30,10/23/2021,vs Juniata,W,56-16,"6-1 , 5-1",2:40,1256,football
31,10/30/2021,at Franklin & Marshall,W,27-10,"7-1 , 6-1",-,1900,football
32,11/6/2021,at Susquehanna,W,52-27,"8-1 , 7-1",02:48,0,football
33,11/13/2021,vs Moravian,W,55-0,"9-1 , 8-1",2:36,2120,football
34,11/20/2021,vs Framingham State,W,45-0,10-1,2:32,2800,football
35,11/27/2021,at Delaware Valley,W,14-0,11-1,03:35,1834,football
36,12/4/2021,at Mount Union,L,29-35,"11-2 , 8-1",03:15,1618,football
37,,,,,,,23152,football
38,9/7/2019,vs TCNJ,W,45-26,1-0,2:52,1805,football
39,9/14/2019,at Dickinson,W,38-9,"2-0 , 1-0",2:30,880,football
40,9/21/2019,vs Susquehanna,W,24-17,"3-0 , 2-0",2:53,3038,football
41,9/28/2019,at Juniata,W,42-5,"4-0 , 3-0",2:48,2500,football
42,10/5/2019,at Franklin & Marshall,W,49-6,"5-0 , 4-0",2h 27m,1267,football
43,10/18/2019,vs Ursinus,W,45-21,"6-0 , 5-0",2:28,2189,football
44,10/26/2019,at McDaniel,W,49-7,"7-0 , 6-0",2:41,1254,football
45,11/2/2019,vs Johns Hopkins,W,31-16,"8-0 , 7-0",2:52,3189,football
46,11/9/2019,at Gettysburg,W,44-3,"9-0 , 8-0",2:27,890,football
47,11/16/2019,vs Moravian,W,52-7,"10-0 , 9-0",2:31,2818,football
48,11/23/2019,vs MIT,W,38-0,11-0,2:32,2380,football
49,11/30/2019,vs Brockport,W,42-0,12-0,2:38,2611,football
50,12/7/2019,at Salisbury,W,24-8,13-0,2:30,1510,football
51,12/14/2019,vs North Central,L,14-45,13-1,3:08,3845,football
52,,,,,,,30176,football
53,9/8/2018,vs Dickinson,W,14-3,"1-0 , 1-0",2:32,839,football
54,9/15/2018,at Susquehanna,W,37-34,"2-0 , 2-0",3:20,2000,football
55,9/22/2018,vs Juniata,W,62-7,"3-0 , 3-0",2:40,2862,football
56,9/29/2018,vs Franklin & Marshall,W,42-21,"4-0 , 4-0",2:42,2142,football
57,10/6/2018,at Ursinus,W,34-14,"5-0 , 5-0",2:52,1350,football
58,10/13/2018,at Thomas More,W,34-31,6-0,2:38,3062,football
59,10/20/2018,vs McDaniel,W,42-18,"7-0 , 6-0",2:41,2315,football
60,10/27/2018,at Johns Hopkins,L,16-27,"7-1 , 6-1",2:55,875,football
61,11/3/2018,vs Gettysburg,W,49-0,"8-1 , 7-1",2:36,2873,football
62,11/10/2018,at Moravian,W,53-7,"9-1 , 8-1",2:33,1703,football
63,11/17/2018,at Delaware Valley,W,20-13,10-1,2:58,1336,football
64,11/24/2018,vs Randolph-Macon,W,35-6,11-1,2:20,2931,football
65,12/1/2018,at Mount Union,L,10-38,11-2,2:45,1157,football
66,,,,,,,25445,football
67,9/2/2017,vs Wilkes,W,62-19,1-0,2:42,1351,football
68,9/9/2017,at Dickinson,W,25-6,"2-0 , 1-0",2:40,600,football
69,9/16/2017,vs Susquehanna,L,11-14,"2-1 , 1-1",2:45,2514,football
70,9/23/2017,at Juniata,W,56-40,"3-1 , 2-1",3:20,1000,football
71,9/30/2017,at Franklin & Marshall,L,14-17,"3-2 , 2-2",2h 52m,1421,football
72,10/7/2017,vs Ursinus,W,21-14,"4-2 , 3-2",2:34,2565,football
73,10/21/2017,at McDaniel,W,40-13,"5-2 , 4-2",2:44,8752,football
74,10/28/2017,vs Johns Hopkins,L,24-31,"5-3 , 4-3",2:41,3271,football
75,11/4/2017,at Gettysburg,W,39-14,"6-3 , 5-3",2:40,2457,football
76,11/11/2017,vs Moravian,W,29-14,"7-3 , 6-3",2:30,2306,football
77,11/18/2017,vs. Carnegie Mellon,W,32-6,8-3,2:26,1036,football
78,,,,,,,27273,football
79,9/2/2016,at Wilkes,W,29-22,1-0,2:45,1052,football
80,9/10/2016,vs Franklin & Marshall,W,35-19,"2-0 , 1-0",2:45,2482,football
81,9/17/2016,at McDaniel,W,42-13,"3-0 , 2-0",2:40,3812,football
82,9/24/2016,vs Johns Hopkins,L,24-30,"3-1 , 2-1",2:53,3718,football
83,10/1/2016,at Susquehanna,W,33-30,"4-1 , 3-1",1:52,989,football
84,10/15/2016,vs Gettysburg,W,43-7,"5-1 , 4-1",2:42,2010,football
85,10/22/2016,vs Juniata,W,56-17,"6-1 , 5-1",2:24,1277,football
86,10/29/2016,at Dickinson,W,72-7,"7-1 , 6-1",2:41,2600,football
87,11/5/2016,vs Ursinus,W,49-7,"8-1 , 7-1",2:42,1872,football
88,11/12/2016,at Moravian,W,31-12,"9-1 , 8-1",2:43,1988,football
89,11/19/2016,vs Delaware Valley,L,27-30,9-2,2:44,2550,football
90,,,,,,,24350,football
91,9/4/2015,vs Wilkes,W,35-7,1-0,2:40,3254,football
92,9/12/2015,at Franklin & Marshall,L,15-16,"1-1 , 0-1",3h 46m,671,football
