,Opponent,Date,Score,W/L,FGM/A,PCT,3FG/A,PCT.1,FTM/A,PCT.2,OFF,DEF,TOT,AVG,PF,AST,TO,BLK,STL,PTS,AVG.1,team_name
0,at Rosemont,11/11/23,86-64,W,26-53,0.491,10-24,0.417,24-31,0.774,9,19,28,28.0,17,16,10,2,10,86,86.0,mbball
1,vs Moravian,11/15/23,66-83,L,27-62,0.435,6-26,0.231,6-10,0.6,7,23,30,29.0,22,5,11,0,7,66,76.0,mbball
2,at Swarthmore,11/21/23,58-77,L,22-59,0.373,4-20,0.2,10-13,0.769,10,23,33,30.3,16,10,13,7,9,58,70.0,mbball
3,vs Dickinson,11/28/23,79-50,W,32-68,0.471,6-20,0.3,9-14,0.643,13,31,44,33.8,17,14,7,2,14,79,72.3,mbball
4,at Johns Hopkins,12/02/23,44-66,L,14-53,0.264,3-10,0.3,13-24,0.542,9,31,40,35.0,14,5,18,1,3,44,66.6,mbball
5,vs Haverford,12/06/23,78-72,W,28-58,0.483,9-22,0.409,13-22,0.591,14,17,31,34.3,11,13,10,2,9,78,68.5,mbball
6,at Marymount (VA),12/09/23,72-82,L,32-65,0.492,3-14,0.214,5-8,0.625,8,24,32,34.0,14,10,10,1,5,72,69.0,mbball
7,vs DeSales,12/17/23,60-74,L,20-57,0.351,8-34,0.235,12-14,0.857,8,18,26,33.0,17,11,7,0,4,60,67.9,mbball
8,vs Montclair St.,12/29/23,74-84,L,27-61,0.443,6-17,0.353,14-22,0.636,14,24,38,33.6,14,14,19,4,7,74,68.6,mbball
9,at Hamilton,12/30/23,70-89,L,24-57,0.421,5-18,0.278,17-26,0.654,13,24,37,33.9,17,9,12,0,4,70,68.7,mbball
10,at Penn St.-Harrisburg,01/03/24,74-80,L,25-50,0.5,12-27,0.444,12-18,0.667,7,24,31,33.6,16,16,9,1,5,74,69.2,mbball
11,at Washington College,01/06/24,62-56,W,18-54,0.333,6-23,0.261,20-27,0.741,16,29,45,34.6,8,13,9,4,7,62,68.6,mbball
12,vs Franklin & Marshall,01/09/24,67-88,L,19-47,0.404,7-17,0.412,22-25,0.88,6,17,23,33.7,17,9,20,2,6,67,68.5,mbball
13,vs Gettysburg,01/11/24,77-81,L,31-58,0.534,3-12,0.25,12-15,0.8,7,25,32,33.6,18,5,14,1,4,77,69.1,mbball
14,at McDaniel,01/13/24,69-60,W,23-47,0.489,5-13,0.385,18-25,0.72,8,20,28,33.2,10,5,11,2,12,69,69.1,mbball
15,at Ursinus,01/17/24,75-72,W,25-53,0.472,11-22,0.5,14-20,0.7,5,29,34,33.3,15,13,14,3,6,75,69.4,mbball
16,vs Johns Hopkins,01/20/24,55-75,L,20-56,0.357,6-17,0.353,9-13,0.692,4,24,28,32.9,16,7,12,1,7,55,68.6,mbball
17,at Dickinson,01/25/24,50-73,L,15-44,0.341,6-24,0.25,14-22,0.636,3,24,27,32.6,15,7,16,0,4,50,67.6,mbball
