,Date,Opponent,W/L,Score,Overall,Conference,Attend,Goals Scored [Assist],team_name
0,9/1/2023,vs Scranton,L,0-1,(0-1),,130,,msoc
1,9/3/2023,at Hobart,W,3-1,(1-1),,125,Elie Khalil (1) (Sebastian Tis)  Elie Khalil (2) (Chris Richards)  Will Curtis IV (1) (Jason Edelstein),msoc
2,9/6/2023,vs TCNJ,W,1-0,(2-1),,209,Taylan Akdag (1) (Sam Roberts),msoc
3,9/12/2023,vs DeSales,W,4-0,(3-1),,209,Chris Richards (1) (Taylan Akdag)  Sebastian Tis (1) (Taylan Akdag)  Will Curtis IV (2) (Elie Khalil)  Noah Pietila (1),msoc
4,9/16/2023,at Johns Hopkins,T,1-1,"(3-1-1, 0-0-1)",0-0-1,150,Greyson King (1) (Sam Roberts),msoc
5,9/20/2023,at Misericordia,W,2-1,(4-1-1),,25,Chris Richards (0) Jake Mendelson (1) (Taylan Akdag),msoc
6,9/23/2023,vs Dickinson,W,1-0,"(5-1-1, 1-0-1)",1-0-1,75,"Zack Mikuta (1) (Evan Schlotterbeck , Taylan Akdag)",msoc
7,9/27/2023,at Haverford,W,3-0,"(6-1-1, 2-0-1)",2-0-1,43,"Noah Pietila (2) (Trevor Mikuta , Sam Roberts)  Kevin Adams (1) (Evan Schlotterbeck)  Abraham McWilliams (1) (Sebastian Tis)",msoc
8,9/30/2023,vs Gettysburg,W,5-1,"(7-1-1, 3-0-1)",3-0-1,109,Chris Richards (3) Taylan Akdag (2) (Brandin Osborne)  Taylan Akdag (3) (Elie Khalil)  Taylan Akdag (4) Elie Khalil (3),msoc
9,10/3/2023,at William Paterson,W,4-0,(8-1-1),,70,"Taylan Akdag (5) (Zack Mikuta)  Chris Richards (4) Brandin Osborne (1) (Taylan Akdag , Caleb Herring)  Zack Mikuta (2) (Elie Khalil)",msoc
10,10/7/2023,at Franklin & Marshall,L,2-4,"(8-2-1, 3-1-1)",3-1-1,160,"Taylan Akdag (6) Luke Feeney (1) (Zack Mikuta , Chris Richards)",msoc
11,10/14/2023,at Ursinus,W,1-0,"(9-2-1, 4-1-1)",4-1-1,89,Luke Feeney (2) (Brandin Osborne),msoc
12,10/18/2023,vs Swarthmore,T,0-0,"(9-2-2, 4-1-2)",4-1-2,100,,msoc
13,10/21/2023,vs Washington College,L,0-2,"(9-3-2, 4-2-2)",4-2-2,210,,msoc
14,10/24/2023,vs Cabrini,W,1-0,(10-3-2),,100,"Jake Mendelson (2) (Caleb Herring , Kevin Adams)",msoc
15,10/28/2023,at McDaniel,W,1-0,"(11-3-2, 5-2-2)",5-2-2,355,Luke Feeney (3) (Evan Schlotterbeck),msoc
16,10/31/2023,vs Dickinson,W,2-1,(12-3-2),,211,TEAM (0) Andrew Gaines (1) (Caleb Herring),msoc
17,11/3/2023,at Franklin & Marshall,W,2-1,(13-3-2),,195,Taylan Akdag (7) (Sebastian Tis)  Evan Schlotterbeck (1) (Taylan Akdag),msoc
18,11/5/2023,vs Johns Hopkins,L,0-1,(13-4-2),,405,,msoc
19,9/1/2022,vs Juniata,W,4-2,(1-0),,100,Taylan Akdag (1) (Francois D'Elia)  Chris Richards (1) Taylan Akdag (2) (Zack Mikuta)  Brandin Osborne (1) (Jason Edelstein),msoc
20,9/3/2022,at Scranton,L,2-3,(1-1),,213,Brandin Osborne (2) Tarin Morris (1) (Taylan Akdag),msoc
21,9/7/2022,at TCNJ,L,1-2,(1-2),,179,Tarin Morris (2) (Chris Richards),msoc
22,9/10/2022,vs Wm. Paterson,W,4-0,(2-2),,125,"Chris Richards (2) (Caleb Herring , Taylan Akdag)  Noah Pietila (0) (Kevin Adams , Jake Mendelson)  Andrew Gaines (0) (Francois D'Elia)  Luke Feeney (0)",msoc
