,Date,Opponent,W/L,Score,G,A,PTS,SH,SH%,SOG,SOG%,GW,UP,DN,GB,TO,CTO,Faceoff,PEN-MIN,team_name
0,2/17/24,at Stevenson,L,10-15,10,6,16,35,0.286,22,0.629,0,0,1,27,16,8,7-22,4-04:30,mlax
1,2/21/24,at Scranton,L,10-13,10,4,14,53,0.189,27,0.509,0,0,0,45,15,13,17-9,5-02:30,mlax
2,2/24/24,Clarkson,W,8-7,8,7,15,45,0.178,19,0.422,1,4,0,27,14,8,12-7,4-03:00,mlax
3,2/28/24,at DeSales,L,8-11,8,3,11,59,0.136,33,0.559,0,0,0,33,11,10,11-11,2-01:00,mlax
4,3/02/24,Rensselaer,L,9-11,9,7,16,36,0.25,21,0.583,0,0,0,24,14,12,8-16,3-02:00,mlax
5,3/09/24,at Union (N.Y.),L,7-17,7,1,8,38,0.184,22,0.579,0,0,0,28,19,7,8-20,5-04:30,mlax
6,3/13/24,at Colorado College,W,14-13,14,6,20,55,0.255,32,0.582,1,1,0,36,15,9,17-13,2-02:00,mlax
7,3/16/24,vs Cortland,W,12-10,12,6,18,50,0.24,30,0.6,1,1,0,30,15,4,17-9,1-01:00,mlax
8,3/23/24,at Dickinson,L,6-11,6,2,8,38,0.158,20,0.526,0,0,0,31,21,6,11-10,2-01:30,mlax
9,3/27/24,Swarthmore,L,12-13,12,5,17,46,0.261,29,0.63,0,1,0,31,13,6,10-19,2-01:30,mlax
10,3/30/24,at Washington College,W,17-10,17,7,24,47,0.362,32,0.681,1,1,0,39,13,6,17-11,4-03:30,mlax
11,4/06/24,McDaniel,W,17-6,17,15,32,58,0.293,34,0.586,1,2,0,38,17,10,22-5,3-02:30,mlax
12,4/10/24,at Ursinus,W,10-8,10,5,15,43,0.233,23,0.535,1,0,0,40,23,12,12-10,1-00:30,mlax
13,4/13/24,at Gettysburg,W,12-11,12,6,18,37,0.324,22,0.595,1,1,0,24,10,5,6-20,2-01:00,mlax
14,4/17/24,Haverford,W,19-10,19,8,27,54,0.352,35,0.648,1,5,0,43,14,9,22-10,7-06:00,mlax
15,4/20/24,Franklin & Marshall,W,11-4,11,6,17,39,0.282,27,0.692,1,0,0,37,19,10,10-9,1-01:00,mlax
16,4/24/24,Stockton,W,14-9,14,8,22,40,0.35,27,0.675,1,1,0,40,16,16,10-16,5-03:00,mlax
17,5/02/24,at Dickinson,L,10-11,10,7,17,32,0.313,21,0.656,0,2,0,27,16,10,9-15,2-01:00,mlax
18,,Muhlenberg,,206-190,206,109,315,805,0.256,476,0.591,10,19,1,600,281,161,226-232,55-42:00,mlax
19,,Opponents,,190-206,190,111,301,680,0.279,378,0.556,8,18,0,598,351,140,232-226,49-39:30,mlax
20,2/18/23,Rochester Inst.,L,9-10,9,7,16,37,0.243,21,0.568,0,2,0,22,19,7,9-14,3-04:30,mlax
21,2/24/23,Colorado College,W,17-7,17,10,27,49,0.347,31,0.633,1,4,0,32,14,10,11-16,7-05:30,mlax
22,3/01/23,DeSales,W,15-7,15,10,25,50,0.3,31,0.62,1,1,1,34,16,10,11-15,4-03:00,mlax
23,3/05/23,at Rensselaer,L,6-11,6,4,10,38,0.158,24,0.632,0,2,0,32,16,7,4-16,3-04:30,mlax
24,3/08/23,Scranton,W,17-13,17,8,25,47,0.362,29,0.617,1,3,0,35,18,11,18-14,4-02:30,mlax
25,3/11/23,vs St. John Fisher,W,10-9,10,5,15,42,0.238,24,0.571,1,1,0,25,14,10,9-13,4-03:30,mlax
26,3/16/23,vs Emerson,W,8-2,8,4,12,59,0.136,31,0.525,1,0,0,44,14,12,10-4,1-01:00,mlax
27,3/25/23,Dickinson,W,11-10,11,8,19,40,0.275,20,0.5,1,2,0,23,20,10,9-14,5-05:00,mlax
28,3/29/23,at Swarthmore,L,8-18,8,6,14,46,0.174,23,0.5,0,0,0,19,13,6,15-13,3-02:30,mlax
29,4/01/23,Washington College,W,12-9,12,8,20,45,0.267,23,0.511,1,2,0,35,17,10,13-10,3-05:00,mlax
30,4/08/23,at McDaniel,W,7-6,7,3,10,46,0.152,29,0.63,1,0,0,32,8,10,13-4,2-01:00,mlax
31,4/12/23,Ursinus,W,18-8,18,13,31,47,0.383,29,0.617,1,2,0,26,11,8,16-12,4-02:30,mlax
32,4/15/23,Gettysburg,L,13-15,13,9,22,36,0.361,19,0.528,0,1,0,20,12,7,13-18,5-05:00,mlax
33,4/19/23,at Haverford,L,5-9,5,3,8,57,0.088,31,0.544,0,0,0,35,12,9,9-9,1-01:00,mlax
34,4/22/23,at Franklin & Marshall,W,13-7,13,10,23,38,0.342,22,0.579,1,1,0,33,16,7,7-17,2-01:30,mlax
35,4/26/23,at Stockton,W,12-10,12,2,14,33,0.364,22,0.667,1,0,0,25,18,8,10-16,2-02:00,mlax
36,5/02/23,Franklin & Marshall,L,8-9,8,1,9,48,0.167,26,0.542,0,0,0,31,14,11,9-11,1-00:30,mlax
37,,Muhlenberg,,189-160,189,111,300,758,0.249,435,0.574,11,21,1,503,252,153,186-216,54-50:30,mlax
38,,Opponents,,160-189,160,106,266,609,0.263,338,0.555,6,22,0,530,340,97,216-186,70-56:30,mlax
39,2/20/22,at RIT,L,9-19,9,1,10,41,0.22,23,0.561,0,0,0,33,28,3,18-14,3-02:30,mlax
40,3/02/22,at DeSales,L,9-10,9,4,13,42,0.214,25,0.595,0,1,0,37,24,14,9-13,3-02:30,mlax
41,3/05/22,Susquehanna,W,16-6,16,9,25,65,0.246,43,0.662,1,1,0,42,13,15,12-13,3-05:00,mlax
42,3/10/22,Scranton,W,13-9,13,6,19,65,0.2,29,0.446,1,0,0,30,14,7,17-9,1-01:00,mlax
43,3/14/22,at Transylvania,W,17-8,17,11,28,47,0.362,27,0.574,1,2,0,38,15,9,20-9,4-02:30,mlax
44,3/17/22,at Sewanee,W,19-5,19,15,34,54,0.352,36,0.667,1,6,0,40,19,16,14-14,7-08:30,mlax
45,3/26/22,at Washington College,W,13-8,13,7,20,47,0.277,33,0.702,1,1,0,33,16,13,13-10,3-02:30,mlax
46,3/30/22,Swarthmore,W,11-8,11,4,15,35,0.314,20,0.571,1,0,0,39,18,9,13-9,2-02:00,mlax
47,4/02/22,at Ursinus,W,8-5,8,1,9,38,0.211,25,0.658,1,0,0,30,11,5,9-8,2-01:30,mlax
48,4/09/22,Franklin & Marshall,L,9-10,9,3,12,43,0.209,30,0.698,0,0,0,25,17,9,11-12,3-02:30,mlax
49,4/16/22,at Dickinson,L,10-14,10,6,16,37,0.27,22,0.595,0,1,0,28,18,5,13-13,6-03:30,mlax
50,4/20/22,Haverford,W,19-8,19,12,31,47,0.404,30,0.638,1,0,0,31,16,11,13-17,2-01:30,mlax
51,4/24/22,at Gettysburg,L,3-5,3,2,5,36,0.083,14,0.389,0,0,0,19,18,7,4-7,2-01:30,mlax
52,4/30/22,McDaniel,W,17-4,17,10,27,55,0.309,32,0.582,1,0,0,42,16,11,17-8,1-00:30,mlax
