,Date,Loc,Opponent,W/L,Score,AB,R,H,RBI,2B,3B,HR,BB,IBB,SB,CS,HBP,SH,SF,GDP,K,PO,A,E,AVG,team_name
0,2/27/2024,at,Kean,L,1-2,25,1,6,1,1,1,0,3,0,0,0,0,1,0,0,3,18,6,3,0.24,softball
1,3/1/2024,at,Stockton,L,4-9,29,4,7,3,0,0,1,0,0,2,2,1,0,0,0,6,18,5,1,0.241,softball
2,3/1/2024,at,Stockton,W,2-1,28,2,6,2,0,0,0,0,0,0,0,0,0,0,0,1,21,11,2,0.214,softball
3,3/10/2024,vs,Stevenson,W,11-0,34,11,16,9,1,0,0,3,0,4,0,0,1,1,0,2,18,7,0,0.471,softball
4,3/10/2024,vs,St. Joseph's (L.I),W,11-2,19,11,7,8,1,0,0,9,0,3,0,1,1,0,0,1,15,5,0,0.368,softball
5,3/11/2024,vs,Mt. Aloysius,W,7-0,24,7,9,7,2,1,0,1,0,4,0,0,2,0,1,3,21,7,2,0.375,softball
6,3/11/2024,vs,Me.-Presque Isle,W,19-0,34,19,19,18,2,1,2,4,0,2,0,0,0,0,0,1,15,7,1,0.559,softball
7,3/13/2024,vs,St. Joseph's (L.I),W,11-0,25,11,11,7,2,0,0,4,0,5,0,0,0,0,0,2,15,3,0,0.44,softball
8,3/13/2024,vs,Gwynedd Mercy,W,3-0,23,3,6,3,1,0,0,0,0,2,0,1,0,1,1,6,21,10,1,0.261,softball
9,3/14/2024,vs,Franciscan,W,14-1,31,14,18,14,8,2,1,0,0,3,0,0,0,3,0,2,15,3,1,0.581,softball
10,3/14/2024,vs,Mississippi Women,W,2-1,33,2,11,2,1,0,0,2,0,2,0,0,0,0,0,1,21,12,0,0.333,softball
11,3/16/2024,vs,New Paltz,L,5-7,35,5,11,5,0,0,0,0,0,6,0,0,0,1,0,2,24,9,4,0.314,softball
12,3/16/2024,vs,Manhattanville,W,2-0,27,2,8,2,0,0,0,0,0,1,0,0,1,0,0,3,21,7,1,0.296,softball
13,3/21/2024,,Delaware Valley,W,5-1,26,5,6,5,0,1,0,0,0,5,0,2,0,1,0,2,21,14,2,0.231,softball
14,3/21/2024,,Delaware Valley,W,3-1,22,3,7,3,0,0,0,1,0,3,0,0,3,0,0,2,21,6,3,0.318,softball
15,3/22/2024,at,TCNJ,L,1-3,23,1,4,1,0,0,0,2,0,3,0,0,1,0,0,6,18,5,2,0.174,softball
16,3/22/2024,at,TCNJ,L,6-8,26,6,7,5,1,0,0,2,0,3,1,0,2,0,0,2,18,9,3,0.269,softball
17,3/26/2024,at,King's,L,3-5,28,3,8,1,1,0,0,1,0,4,0,1,2,0,0,1,18,10,0,0.286,softball
18,3/26/2024,at,King's,W,5-0,26,5,8,5,1,0,0,2,0,3,0,1,0,1,0,3,21,9,0,0.308,softball
19,3/30/2024,at,Franklin & Marshall,W,7-5,31,7,12,7,2,3,0,2,0,1,1,0,1,0,0,8,21,10,2,0.387,softball
20,3/30/2024,at,Franklin & Marshall,W,2-0,26,2,6,2,2,0,0,0,0,2,0,0,2,0,0,0,21,7,2,0.231,softball
21,4/6/2024,,Washington College,L,2-5,26,2,5,2,0,1,0,3,0,2,0,0,0,0,1,3,21,4,2,0.192,softball
22,4/6/2024,,Washington College,L,4-5,28,4,6,2,0,1,0,3,0,4,0,0,0,0,1,0,21,2,3,0.214,softball
23,4/7/2024,at,Dickinson,L,5-6,34,5,7,5,2,0,0,0,0,2,0,0,4,0,0,4,28,9,0,0.206,softball
24,4/7/2024,at,Dickinson,W,6-5,37,6,14,5,4,0,0,0,0,4,0,0,1,0,0,5,24,7,1,0.378,softball
25,4/9/2024,,Ursinus,L,1-5,24,1,5,1,1,0,0,1,0,1,1,0,1,1,0,1,21,13,0,0.208,softball
26,4/9/2024,,Ursinus,L,3-7,28,3,9,2,0,0,0,1,0,3,0,1,1,0,1,0,21,9,2,0.321,softball
27,4/14/2024,at,Gettysburg,W,6-2,30,6,9,5,3,0,0,1,0,2,1,1,0,0,0,8,21,6,1,0.3,softball
