,Date,Opponent,W/L,SP,K,E,TA,PCT,AST,SA,SE,RE,DIG,BS,BA,BE,TB,BHE,PTS,team_name
0,9/01/2023,vs Marymount (Va.),W,4,53,28,182,0.137,48,7,7,3,89,4,6,1,7.0,0,67.0,volleyball
1,9/02/2023,at Mary Washington,L,3,31,20,135,0.081,31,5,6,5,72,3,2,2,4.0,0,40.0,volleyball
2,9/06/2023,Stockton,W,3,39,14,110,0.227,34,10,4,1,58,2,2,0,3.0,0,52.0,volleyball
3,9/08/2023,Bard,W,3,33,14,78,0.244,30,18,7,4,32,1,6,0,4.0,0,55.0,volleyball
4,9/08/2023,Bluffton,W,3,43,16,105,0.257,37,13,4,1,45,1,6,0,4.0,0,60.0,volleyball
5,9/09/2023,Lebanon Valley,W,5,56,23,138,0.239,52,16,6,4,61,2,12,0,8.0,0,80.0,volleyball
6,9/09/2023,Eastern,L,3,30,14,97,0.165,26,2,4,12,39,1,0,1,1.0,0,33.0,volleyball
7,9/12/2023,Cedar Crest,W,3,38,18,117,0.171,35,7,8,3,51,0,4,0,2.0,0,47.0,volleyball
8,9/15/2023,vs Kean,W,3,37,6,90,0.344,35,10,11,8,46,2,2,0,3.0,0,50.0,volleyball
9,9/15/2023,vs Stevenson,L,3,39,22,120,0.142,37,3,3,6,46,3,2,2,4.0,0,46.0,volleyball
10,9/16/2023,at Arcadia,W,3,33,13,102,0.196,32,12,9,4,38,0,12,0,6.0,1,51.0,volleyball
11,9/19/2023,at Drew,W,4,47,29,174,0.103,45,10,6,5,100,2,12,0,8.0,2,65.0,volleyball
12,9/23/2023,at Juniata,L,3,23,17,106,0.057,22,1,5,8,46,0,6,0,3.0,0,27.0,volleyball
13,9/23/2023,vs John Carroll,W,5,63,27,181,0.199,57,8,9,12,80,1,10,0,6.0,0,77.0,volleyball
14,9/29/2023,Gettysburg,L,4,48,24,166,0.145,47,6,12,4,82,1,10,0,6.0,0,60.0,volleyball
15,10/04/2023,at Ursinus,L,5,44,32,161,0.075,42,12,5,7,84,3,8,0,7.0,4,63.0,volleyball
16,10/07/2023,at Johns Hopkins,L,3,21,17,90,0.044,21,6,4,10,41,0,2,2,1.0,1,28.0,volleyball
17,10/11/2023,Bryn Mawr,W,3,35,7,63,0.444,31,18,8,1,30,1,2,0,2.0,0,55.0,volleyball
18,10/14/2023,at Franklin & Marshall,L,3,32,24,105,0.076,32,8,3,7,41,1,0,0,1.0,2,41.0,volleyball
19,10/17/2023,Swarthmore,L,5,52,18,154,0.221,48,8,6,8,63,3,2,5,4.0,2,64.0,volleyball
20,10/21/2023,McDaniel,W,3,48,12,104,0.346,43,4,6,0,47,1,8,0,5.0,1,57.0,volleyball
21,10/28/2023,Washington College,W,4,58,22,143,0.252,55,8,5,8,70,3,18,0,12.0,0,78.0,volleyball
22,11/01/2023,at Haverford,L,3,30,21,127,0.071,27,6,4,8,56,1,6,0,4.0,1,40.0,volleyball
23,11/04/2023,at Dickinson,W,4,53,22,193,0.161,46,8,7,5,109,0,4,0,2.0,1,63.0,volleyball
24,11/08/2023,at Franklin & Marshall,L,4,38,22,157,0.102,37,3,4,14,80,1,10,0,6.0,2,47.0,volleyball
25,,Muhlenberg,,89,1024,482,3198,0.169,950,209,153,148,1506,37,152,13,113.0,17,1346.0,volleyball
26,,Opponents,,89,975,445,3153,0.168,917,148,156,209,1469,53,200,35,153.0,20,1276.0,volleyball
27,9/03/2022,vs Nazareth,W,5,53,22,162,0.191,47,9,8,14,90,2,0,0,2.0,3,64.0,volleyball
28,9/03/2022,at Scranton,L,4,43,18,151,0.166,38,6,5,3,63,1,10,1,6.0,3,55.0,volleyball
29,9/06/2022,at Rowan,L,4,41,23,135,0.133,39,8,12,9,61,0,6,0,3.0,1,52.0,volleyball
30,9/10/2022,vs Merchant Marine,W,5,51,28,161,0.143,49,8,8,9,85,1,8,1,5.0,1,64.0,volleyball
31,9/10/2022,at Vassar,W,4,42,26,140,0.114,40,8,11,7,72,2,12,1,8.0,1,58.0,volleyball
32,9/13/2022,Hunter,W,3,42,8,91,0.374,40,8,5,4,50,1,16,0,9.0,0,59.0,volleyball
33,9/14/2022,Moravian,W,3,46,22,123,0.195,42,10,2,3,60,0,6,1,3.0,0,59.0,volleyball
34,9/17/2022,at Salisbury,L,3,33,18,112,0.134,31,6,5,3,44,0,4,0,2.0,1,41.0,volleyball
35,9/17/2022,vs Va. Wesleyan,L,4,37,26,142,0.077,34,2,6,6,60,1,8,0,5.0,1,44.0,volleyball
36,9/20/2022,Marywood,W,3,37,26,100,0.11,35,10,6,4,48,0,6,0,3.0,0,50.0,volleyball
37,9/22/2022,at Penn St.-Berks,W,5,61,28,201,0.164,56,9,8,6,106,2,17,1,10.5,1,80.5,volleyball
38,9/24/2022,Dickinson,L,3,29,24,116,0.043,27,8,2,4,39,1,6,0,4.0,0,41.0,volleyball
39,9/24/2022,Stevenson,L,4,33,33,147,0.0,30,4,6,8,64,1,4,1,3.0,1,40.0,volleyball
40,9/27/2022,at Swarthmore,L,3,43,22,145,0.145,35,3,8,6,62,0,6,0,3.0,0,49.0,volleyball
41,10/01/2022,at McDaniel,W,3,36,15,122,0.172,34,7,6,7,48,4,6,0,7.0,0,50.0,volleyball
42,10/05/2022,Ursinus,W,4,49,29,150,0.133,45,9,5,7,71,3,2,0,4.0,0,62.0,volleyball
43,10/08/2022,Gettysburg,L,3,36,17,124,0.153,34,1,5,6,52,0,8,2,4.0,0,41.0,volleyball
44,10/08/2022,DeSales,W,3,41,23,117,0.154,40,6,5,6,66,0,12,0,6.0,1,53.0,volleyball
45,10/12/2022,at Haverford,W,4,55,24,195,0.159,49,7,7,4,98,0,14,2,7.0,2,69.0,volleyball
46,10/15/2022,at Johns Hopkins,L,3,20,19,100,0.01,18,9,2,16,49,0,6,1,3.0,0,32.0,volleyball
47,10/15/2022,vs Eastern,L,3,23,27,110,-0.036,20,4,4,12,48,3,4,1,5.0,0,32.0,volleyball
48,10/19/2022,at Bryn Mawr,W,3,43,14,78,0.372,37,9,4,3,36,0,0,0,0.0,0,52.0,volleyball
49,10/22/2022,Washington College,W,3,38,19,115,0.165,37,10,1,4,62,2,6,0,5.0,0,53.0,volleyball
50,10/26/2022,Franklin & Marshall,L,3,24,19,106,0.047,22,5,1,8,58,2,4,0,4.0,1,33.0,volleyball
51,10/29/2022,at Arcadia,L,4,49,27,186,0.118,43,3,5,9,85,1,6,0,4.0,0,56.0,volleyball
52,11/02/2022,at Franklin & Marshall,L,3,20,22,96,-0.021,17,3,5,11,43,1,10,2,6.0,0,29.0,volleyball
53,,Muhlenberg,,92,1025,579,3425,0.13,939,172,142,179,1620,28,187,14,121.5,17,1318.5,volleyball
54,,Opponents,,92,994,501,3341,0.148,926,179,183,172,1555,40,175,18,127.5,21,1300.5,volleyball
55,9/03/2021,at Ramapo,W,3,41,20,104,0.202,41,13,3,3,52,0,0,0,0.0,3,54.0,volleyball
56,9/04/2021,vs Hunter,W,4,44,33,158,0.07,43,6,2,10,79,2,8,2,6.0,2,56.0,volleyball
57,9/04/2021,at Stevens,L,3,20,17,99,0.03,20,4,7,10,51,0,0,0,0.0,3,24.0,volleyball
58,9/07/2021,at Cabrini,L,3,32,17,125,0.12,31,3,7,5,48,0,6,2,3.0,0,38.0,volleyball
59,9/10/2021,Cedar Crest,W,4,48,20,137,0.204,46,10,2,8,82,2,6,2,5.0,1,63.0,volleyball
60,9/10/2021,Gallaudet,W,3,38,14,108,0.222,36,6,2,3,53,1,2,0,2.0,0,46.0,volleyball
61,9/11/2021,Penn St.-Abington,W,3,41,18,102,0.225,38,9,10,3,56,0,4,3,2.0,0,52.0,volleyball
62,9/11/2021,Neumann,L,4,37,26,119,0.092,34,3,3,11,63,1,6,2,4.0,2,44.0,volleyball
63,9/15/2021,at Scranton,L,4,41,20,153,0.137,39,14,6,14,63,2,10,0,7.0,0,62.0,volleyball
64,9/18/2021,Rutgers-Newark,W,3,41,17,112,0.214,41,7,4,4,51,0,6,0,3.0,0,51.0,volleyball
65,9/25/2021,at Dickinson,L,3,22,24,111,-0.018,20,1,5,10,52,1,6,0,4.0,0,27.0,volleyball
66,9/28/2021,Swarthmore,L,3,29,17,100,0.12,28,3,3,9,36,0,2,0,1.0,0,33.0,volleyball
67,9/30/2021,at Moravian,L,4,42,33,163,0.055,42,5,6,4,76,0,2,1,1.0,4,48.0,volleyball
68,10/02/2021,McDaniel,W,3,35,21,109,0.128,33,6,3,4,45,1,10,2,6.0,0,47.0,volleyball
69,10/02/2021,DeSales,W,5,65,27,203,0.187,58,10,5,10,97,0,8,1,4.0,3,79.0,volleyball
70,10/06/2021,at Ursinus,W,3,32,8,79,0.304,28,10,4,2,45,0,8,0,4.0,1,46.0,volleyball
71,10/09/2021,at Gettysburg,L,3,28,22,135,0.044,25,5,1,6,61,0,12,0,6.0,2,39.0,volleyball
