,Opponent,Date,Score,W/L,FGM/A,PCT,3FG/A,PCT.1,FTM/A,PCT.2,OFF,DEF,TOT,AVG,PF,AST,TO,BLK,STL,PTS,AVG.1,team_name
0,vs Moravian,11/08/23,45-33,W,18-61,0.295,5-25,0.2,4-7,0.571,13,27,40,40.0,9,10,9,4,8,45,45.0,wbball
1,vs Hartwick,11/11/23,64-55,W,24-58,0.414,5-19,0.263,11-18,0.611,13,21,34,37.0,13,12,9,4,9,64,54.5,wbball
2,vs DeSales,11/14/23,44-41,W,15-52,0.288,3-12,0.25,11-15,0.733,9,32,41,38.3,13,5,19,9,11,44,51.0,wbball
3,at Eastern Conn. St.,11/17/23,57-48,W,21-63,0.333,8-23,0.348,7-11,0.636,11,25,36,37.8,11,16,9,0,7,57,52.5,wbball
4,at Westfield St.,11/18/23,71-44,W,26-67,0.388,11-28,0.393,8-10,0.8,25,42,67,43.6,19,22,31,5,11,71,56.2,wbball
5,at Swarthmore,11/21/23,53-55,L,22-52,0.423,7-20,0.35,2-8,0.25,7,30,37,42.5,12,12,14,2,4,53,55.7,wbball
6,at Bryn Mawr,11/28/23,66-43,W,26-64,0.406,9-16,0.563,5-13,0.385,12,33,45,42.9,10,15,8,3,9,66,57.1,wbball
7,vs Dickinson,11/30/23,44-51,L,12-43,0.279,5-17,0.294,15-20,0.75,5,27,32,41.5,16,6,16,1,3,44,55.5,wbball
8,at Johns Hopkins,12/02/23,55-77,L,20-59,0.339,6-21,0.286,9-13,0.692,6,33,39,41.2,12,8,12,2,5,55,55.4,wbball
9,vs Haverford,12/06/23,54-44,W,16-60,0.267,5-24,0.208,17-26,0.654,19,26,45,41.6,9,11,7,5,3,54,55.3,wbball
10,at Ursinus,12/09/23,50-49,W,20-55,0.364,5-20,0.25,5-8,0.625,13,30,43,41.7,11,12,19,2,4,50,54.8,wbball
11,at Washington College,01/06/24,41-46,L,12-55,0.218,5-31,0.161,12-15,0.8,5,27,32,40.9,18,8,8,5,6,41,53.7,wbball
12,vs Franklin & Marshall,01/09/24,56-60,L,21-56,0.375,8-18,0.444,6-7,0.857,9,30,39,40.8,14,13,12,3,4,56,53.8,wbball
13,vs Gettysburg,01/11/24,58-72,L,22-62,0.355,11-31,0.355,3-6,0.5,14,16,30,40.0,16,15,13,5,7,58,54.1,wbball
14,at McDaniel,01/13/24,66-60,W,23-48,0.479,6-21,0.286,14-20,0.7,10,20,30,39.3,10,11,10,2,9,66,54.9,wbball
15,vs Johns Hopkins,01/20/24,52-77,L,19-68,0.279,7-27,0.259,7-9,0.778,12,27,39,39.3,11,13,13,1,4,52,54.8,wbball
16,vs Ursinus,01/23/24,56-36,W,18-58,0.31,9-31,0.29,11-12,0.917,12,27,39,39.3,10,13,5,3,6,56,54.8,wbball
17,at Dickinson,01/25/24,42-54,L,12-52,0.231,4-21,0.19,14-19,0.737,13,24,37,39.2,18,3,15,1,4,42,54.1,wbball
18,vs Washington College,01/27/24,66-54,W,20-57,0.351,13-39,0.333,13-22,0.591,10,28,38,39.1,16,15,9,5,6,66,54.7,wbball
