,Date,Opponent,W/L,Score,G,A,PTS,SH,SH%,SOG,SOG%,GW,FPG,FPS,UP,DN,GB,TO,CTO,DC,team_name
0,2/21/24,Moravian,W,16-6,16,10,26,46,0.348,31,0.674,1,4,10,4,0,28,16,11,17,wlax
1,2/28/24,Misericordia,W,12-11,12,6,18,34,0.353,19,0.559,1,2,3,0,0,20,11,12,9,wlax
2,3/02/24,Drew,W,22-14,22,14,36,43,0.512,32,0.744,1,3,8,1,0,22,16,13,21,wlax
3,3/05/24,at Widener,W,14-6,14,6,20,30,0.467,22,0.733,1,4,8,2,1,24,17,14,15,wlax
4,3/11/24,vs Wheaton (Mass.),W,19-5,19,8,27,37,0.514,29,0.784,0,8,11,3,0,21,4,9,12,wlax
5,3/15/24,vs Kean,W,24-12,24,11,35,42,0.571,39,0.929,0,6,11,1,0,16,2,16,19,wlax
6,3/20/24,Nazareth,W,17-7,17,11,28,41,0.415,29,0.707,1,2,6,1,1,24,12,11,16,wlax
7,3/23/24,Franklin & Marshall,L,12-20,12,4,16,30,0.4,17,0.567,0,4,6,0,0,17,27,9,17,wlax
8,3/25/24,Lycoming,W,21-7,21,13,34,38,0.553,31,0.816,1,2,4,0,0,21,12,10,21,wlax
9,3/30/24,Haverford,L,11-13,11,3,14,25,0.44,20,0.8,0,4,6,0,0,14,12,8,17,wlax
10,4/06/24,at Washington College,W,11-8,11,5,16,34,0.324,25,0.735,1,3,8,1,0,19,19,11,11,wlax
11,4/13/24,Dickinson,L,11-12,11,3,14,37,0.297,25,0.676,0,2,3,4,0,14,19,6,16,wlax
12,4/17/24,at Swarthmore,W,8-7,8,3,11,26,0.308,20,0.769,1,1,3,1,0,22,16,10,9,wlax
13,4/20/24,McDaniel,W,20-7,20,8,28,32,0.625,27,0.844,1,3,5,2,0,16,12,9,15,wlax
14,4/24/24,at Ursinus,W,14-13,14,2,16,31,0.452,23,0.742,1,6,9,3,0,15,13,10,14,wlax
15,4/27/24,at Gettysburg,L,3-20,3,1,4,13,0.231,9,0.692,0,0,1,1,0,8,20,8,6,wlax
