,date,W/L,team_name,Opponent
0,01/01/2024,W,wrestling,
1,01/01/2024,W,wrestling,
2,01/01/2024,W,wrestling,
3,01/01/2024,W,wrestling,
4,01/01/2024,W,wrestling,
5,01/01/2024,W,wrestling,
6,01/01/2024,W,wrestling,
7,01/01/2024,W,wrestling,
8,01/01/2024,L,wrestling,
9,01/01/2024,L,wrestling,
10,01/01/2024,L,wrestling,
11,01/01/2024,L,wrestling,
12,01/01/2024,L,wrestling,
13,01/01/2024,L,wrestling,
14,01/01/2024,L,wrestling,
15,01/01/2024,L,wrestling,
16,01/01/2024,L,wrestling,
17,01/01/2024,L,wrestling,
18,01/01/2024,L,wrestling,
19,01/01/2023,W,wrestling,
20,01/01/2023,W,wrestling,
21,01/01/2023,W,wrestling,
22,01/01/2023,W,wrestling,
23,01/01/2023,W,wrestling,
24,01/01/2023,W,wrestling,
25,01/01/2023,W,wrestling,
26,01/01/2023,W,wrestling,
27,01/01/2023,W,wrestling,
28,01/01/2023,L,wrestling,
29,01/01/2023,L,wrestling,
30,01/01/2023,L,wrestling,
31,01/01/2022,W,wrestling,
32,01/01/2022,W,wrestling,
33,01/01/2022,W,wrestling,
34,01/01/2022,W,wrestling,
35,01/01/2022,W,wrestling,
36,01/01/2022,W,wrestling,
37,01/01/2022,W,wrestling,
38,01/01/2022,W,wrestling,
39,01/01/2022,W,wrestling,
40,01/01/2022,W,wrestling,
41,01/01/2022,W,wrestling,
42,01/01/2022,W,wrestling,
43,01/01/2022,W,wrestling,
44,01/01/2022,L,wrestling,
45,01/01/2022,L,wrestling,
46,01/01/2022,L,wrestling,
47,01/01/2022,L,wrestling,
48,01/01/2022,L,wrestling,
49,01/01/2022,L,wrestling,
50,01/01/2022,L,wrestling,
51,01/01/2022,L,wrestling,
52,01/01/2022,L,wrestling,
53,01/01/2022,L,wrestling,
54,01/01/2022,L,wrestling,
55,01/01/2021,W,wrestling,
56,01/01/2021,W,wrestling,
57,01/01/2021,W,wrestling,
58,01/01/2021,W,wrestling,
59,01/01/2021,W,wrestling,
60,01/01/2021,W,wrestling,
61,01/01/2021,W,wrestling,
62,01/01/2021,W,wrestling,
63,01/01/2021,W,wrestling,
64,01/01/2021,W,wrestling,
65,01/01/2021,W,wrestling,
66,01/01/2021,W,wrestling,
67,01/01/2021,L,wrestling,
68,01/01/2021,L,wrestling,
69,01/01/2021,L,wrestling,
