,Date,Opponent,W/L,Score,Overall,Conference,Attend,Goals Scored [Assist],team_name
0,9/1/2023,vs Elizabethtown,W,2-1,(1-0),,79,"Casie Burke (1) (Bri Astbury , Anna May)  Ivy Dias (1) (Casie Burke)",wsoc
1,9/2/2023,at Rowan,L,0-3,(1-1),,113,,wsoc
2,9/6/2023,vs Moravian,T,0-0,(1-1-1),,75,,wsoc
3,9/9/2023,vs Catholic,T,0-0,(1-1-2),,100,,wsoc
4,9/13/2023,vs FDU-Florham,W,1-0,(2-1-2),,115,Abby Adams (1) (Lexi Sipos),wsoc
5,9/16/2023,at Johns Hopkins,L,0-3,"(2-2-2, 0-1)",0-1,220,,wsoc
6,9/20/2023,at Swarthmore,L,1-4,"(2-3-2, 0-2)",0-2,104,Anna May (1),wsoc
7,9/23/2023,vs Dickinson,L,0-3,"(2-4-2, 0-3)",0-3,30,,wsoc
8,9/27/2023,vs DeSales,L,1-4,(2-5-2),,100,Ava Reinl (1) (Anna May),wsoc
9,9/30/2023,vs Gettysburg,L,0-1,"(2-6-2, 0-4)",0-4,100,,wsoc
10,10/4/2023,at Haverford,L,2-5,"(2-7-2, 0-5-0)",0-5-0,75,Abby Azzinnari (1) Paige Addis (1) (Casie Burke),wsoc
11,10/7/2023,at Franklin & Marshall,L,0-3,"(2-8-2, 0-6-0)",0-6-0,120,,wsoc
12,10/11/2023,vs Bryn Mawr,T,0-0,"(2-8-3, 0-6-1)",0-6-1,75,,wsoc
13,10/14/2023,at Penn St.-Harrisburg,L,0-4,(2-9-3),,27,,wsoc
14,10/21/2023,vs Washington College,L,2-3,"(2-10-3, 0-7-1)",0-7-1,100,"Casie Burke (2) (Paige Addis , Ivy Dias)  Paige Addis (2) (Bri Astbury , Ivy Dias)",wsoc
15,10/25/2023,vs Ursinus,W,2-1,"(3-10-3, 1-7-1)",1-7-1,111,Paige Addis (3) (Casie Burke)  Casie Burke (3) (Anna May),wsoc
16,10/28/2023,at McDaniel,L,0-1,"(3-11-3, 1-8-1)",1-8-1,888,,wsoc
17,9/1/2022,at Elizabethtown,L,0-1,(0-1),,125,,wsoc
18,9/4/2022,vs Lebanon Valley,T,0-0,(0-1-1),,100,,wsoc
19,9/7/2022,at Moravian,L,0-1,(0-2-1),,168,,wsoc
20,9/9/2022,at Catholic,W,1-0,(1-2-1),,142,Bri Astbury (1) (Noemi Di Cori),wsoc
21,9/14/2022,at FDU-Florham,L,0-5,(1-3-1),,110,,wsoc
22,9/17/2022,vs McDaniel,L,1-6,"(1-4-1, 0-1)",0-1,120,Eliana Nelson-Levy (1),wsoc
23,9/21/2022,vs Franklin & Marshall,L,0-4,"(1-5-1, 0-2 CC)",0-2 CC,115,,wsoc
24,9/24/2022,at Washington College,L,1-2,"(1-6-1, 0-3-0)",0-3-0,268,Casie Burke (0) (Emily DeAngelo),wsoc
25,9/28/2022,at DeSales,L,0-3,(1-7-1),,150,,wsoc
26,10/1/2022,vs Haverford,L,0-3,"(1-8-1, 0-4 CC)",0-4 CC,90,,wsoc
27,10/4/2022,at Dickinson,L,1-4,"(0-9-1, 0-5)",0-5,5,Eliana Nelson-Levy (2),wsoc
28,10/8/2022,vs Swarthmore,L,0-1,"(1-10-1, 0-6 CC)",0-6 CC,80,,wsoc
29,10/12/2022,at Bryn Mawr,W,2-1,"(2-10-1, 1-6-0)",1-6-0,55,Emily Cevallos (0) (Bri Astbury)  Jocelyn Mertz (0),wsoc
30,10/19/2022,vs Susquehanna,L,0-1,(2-11-1),,75,,wsoc
31,10/22/2022,vs Johns Hopkins,L,0-4,"(2-12-1, 1-7 CC)",1-7 CC,105,,wsoc
32,10/26/2022,at Ursinus,L,1-4,"(2-13-1, 1-8-0)",1-8-0,122,Anna May (1) (Casie Burke),wsoc
33,10/29/2022,at Gettysburg,T,0-0,"(2-13-2, 1-8-1)",1-8-1,312,,wsoc
