,date,W/L,team_name,Opponent
0,01/01/2025,L,wtennis,
1,01/01/2025,L,wtennis,
2,01/01/2023,W,wtennis,
3,01/01/2023,W,wtennis,
4,01/01/2023,W,wtennis,
5,01/01/2023,W,wtennis,
6,01/01/2023,W,wtennis,
7,01/01/2023,L,wtennis,
8,01/01/2023,L,wtennis,
9,01/01/2023,L,wtennis,
10,01/01/2023,L,wtennis,
11,01/01/2023,L,wtennis,
12,01/01/2023,L,wtennis,
13,01/01/2023,L,wtennis,
14,01/01/2023,L,wtennis,
15,01/01/2023,L,wtennis,
16,01/01/2023,L,wtennis,
17,01/01/2023,L,wtennis,
18,01/01/2023,L,wtennis,
19,01/01/2022,W,wtennis,
20,01/01/2022,W,wtennis,
21,01/01/2022,W,wtennis,
22,01/01/2022,L,wtennis,
23,01/01/2022,L,wtennis,
24,01/01/2022,L,wtennis,
25,01/01/2022,L,wtennis,
26,01/01/2022,L,wtennis,
27,01/01/2022,L,wtennis,
28,01/01/2022,L,wtennis,
29,01/01/2022,L,wtennis,
30,01/01/2022,L,wtennis,
31,01/01/2022,L,wtennis,
32,01/01/2022,L,wtennis,
33,01/01/2022,L,wtennis,
34,01/01/2021,W,wtennis,
35,01/01/2021,W,wtennis,
36,01/01/2021,W,wtennis,
37,01/01/2021,W,wtennis,
38,01/01/2021,W,wtennis,
39,01/01/2021,L,wtennis,
40,01/01/2021,L,wtennis,
41,01/01/2021,L,wtennis,
42,01/01/2021,L,wtennis,
43,01/01/2021,L,wtennis,
44,01/01/2021,L,wtennis,
45,01/01/2021,L,wtennis,
46,01/01/2021,L,wtennis,
47,01/01/2021,L,wtennis,
48,01/01/2021,L,wtennis,
49,01/01/2021,W,wtennis,
50,01/01/2021,L,wtennis,
51,01/01/2021,L,wtennis,
52,01/01/2021,L,wtennis,
53,01/01/2021,L,wtennis,
54,01/01/2021,L,wtennis,
55,01/01/2021,L,wtennis,
56,01/01/2019,W,wtennis,
57,01/01/2019,L,wtennis,
58,01/01/2019,L,wtennis,
59,01/01/2019,L,wtennis,
60,01/01/2019,L,wtennis,
61,01/01/2019,L,wtennis,
62,01/01/2019,L,wtennis,
63,01/01/2019,L,wtennis,
64,01/01/2018,W,wtennis,
65,01/01/2018,W,wtennis,
66,01/01/2018,L,wtennis,
67,01/01/2018,L,wtennis,
68,01/01/2018,L,wtennis,
69,01/01/2018,L,wtennis,
70,01/01/2018,L,wtennis,
71,01/01/2018,L,wtennis,
72,01/01/2018,L,wtennis,
73,01/01/2018,L,wtennis,
74,01/01/2018,L,wtennis,
75,01/01/2018,L,wtennis,
76,01/01/2018,L,wtennis,
77,01/01/2018,L,wtennis,
78,01/01/2018,L,wtennis,
79,01/01/2018,L,wtennis,
80,01/01/2017,L,wtennis,
81,01/01/2017,L,wtennis,
82,01/01/2017,L,wtennis,
83,01/01/2017,L,wtennis,
84,01/01/2017,L,wtennis,
85,01/01/2017,L,wtennis,
86,01/01/2017,L,wtennis,
87,01/01/2017,L,wtennis,
88,01/01/2017,L,wtennis,
89,01/01/2017,L,wtennis,
90,01/01/2017,L,wtennis,
91,01/01/2017,L,wtennis,
92,01/01/2016,W,wtennis,
93,01/01/2016,L,wtennis,
94,01/01/2016,L,wtennis,
95,01/01/2016,L,wtennis,
96,01/01/2016,L,wtennis,
97,01/01/2016,L,wtennis,
98,01/01/2016,L,wtennis,
99,01/01/2016,L,wtennis,
100,01/01/2016,L,wtennis,
101,01/01/2016,L,wtennis,
102,01/01/2016,L,wtennis,
103,01/01/2016,L,wtennis,
104,01/01/2016,L,wtennis,
105,01/01/2015,W,wtennis,
106,01/01/2015,W,wtennis,
107,01/01/2015,L,wtennis,
108,01/01/2015,L,wtennis,
109,01/01/2015,L,wtennis,
110,01/01/2015,L,wtennis,
111,01/01/2015,L,wtennis,
112,01/01/2015,L,wtennis,
113,01/01/2015,L,wtennis,
114,01/01/2015,L,wtennis,
115,01/01/2015,L,wtennis,
116,01/01/2015,L,wtennis,
117,01/01/2015,L,wtennis,
118,01/01/2015,L,wtennis,
119,01/01/2014,W,wtennis,
120,01/01/2014,W,wtennis,
121,01/01/2014,W,wtennis,
122,01/01/2014,W,wtennis,
123,01/01/2014,W,wtennis,
124,01/01/2014,W,wtennis,
